Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
simple,MAX917,"DIRECT COLOR BLUE 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR BLUE 60ML","DIRECT COLOR BLUE 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX917-direct-coloring-blue.jpg.png",,,,,,,,,0,,,,
simple,MAX918,"DIRECT COLOR GREEN 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR GREEN 60ML","DIRECT COLOR GREEN 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX918-direct-coloring-green.jpg.png",,,,,,,,,0,,,,
simple,MAX919,"DIRECT COLOR ACID GREEN 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR ACID GREEN 60ML","DIRECT COLOR ACID GREEN 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX919-direct-coloring-acidgreen.jpg.png",,,,,,,,,0,,,,
simple,MAX920,"DIRECT COLOR PINK 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR PINK 60ML","DIRECT COLOR PINK 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX920-direct-coloring-pink.jpg.png",,,,,,,,,0,,,,
simple,MAX921,"DIRECT COLOR PLUM 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR PLUM 60ML","DIRECT COLOR PLUM 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX921-direct-coloring-plum.jpg.png",,,,,,,,,0,,,,
simple,MAX922,"DIRECT COLOR TURQUOISE 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR TURQUOISE 60ML","DIRECT COLOR TURQUOISE 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX922-direct-coloring-turquoise.jpg.png",,,,,,,,,0,,,,
simple,MAX923,"DIRECT COLOR ORANGE 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR ORANGE 60ML","DIRECT COLOR ORANGE 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX923-direct-coloring-orange.jpg.png",,,,,,,,,0,,,,
simple,MAX924,"DIRECT COLOR YELLOW 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR YELLOW 60ML","DIRECT COLOR YELLOW 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX924-direct-coloring-yellow.jpg.png",,,,,,,,,0,,,,
simple,MAX925,"DIRECT COLOR RED 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR RED 60ML","DIRECT COLOR RED 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX925-direct-coloring-red.jpg.png",,,,,,,,,0,,,,
simple,MAX926,"DIRECT COLOR PEARL GREY 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR PEARL GREY 60ML","DIRECT COLOR PEARL GREY 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX926-direct-coloring-pearlgrey.jpg.png",,,,,,,,,0,,,,
